('hsa-miR-27a-5p', 'MIMAT0004501')
('hsa-miR-323b-3p', 'MIMAT0015050')
('hsa-miR-20a-5p', 'MIMAT0000075')
('hsa-miR-138-1-3p', 'MIMAT0004607')
('hsa-miR-223-5p', 'MIMAT0004570')
('hsa-miR-503-5p', 'MIMAT0002874')
('hsa-miR-145-5p', 'MIMAT0000437')
('hsa-miR-148b-5p', 'MIMAT0004699')
('hsa-miR-10a-5p', 'MIMAT0000253')
('hsa-miR-483-5p', 'MIMAT0004761')
('hsa-miR-374a-5p', 'MIMAT0000727')
('hsa-miR-378c', 'MIMAT0016847')
('hsa-miR-376b-3p', 'MIMAT0002172')
('hsa-let-7a-5p', 'MIMAT0000062')
('hsa-miR-582-3p', 'MIMAT0004797')
('hsa-miR-664a-3p', 'MIMAT0005949')
('hsa-miR-491-3p', 'MIMAT0004765')
('hsa-miR-34a-3p', 'MIMAT0004557')
('hsa-miR-423-3p', 'MIMAT0001340')
('hsa-miR-320d', 'MIMAT0006764')
('hsa-let-7i-5p', 'MIMAT0000415')
('hsa-miR-770-5p', 'MIMAT0003948')
('hsa-let-7d-3p', 'MIMAT0004484')
('hsa-miR-874-5p', 'MIMAT0026718')
('hsa-miR-98-5p', 'MIMAT0000096')
('hsa-miR-592', 'MIMAT0003260')
('hsa-miR-187-3p', 'MIMAT0000262')
('hsa-miR-134-3p', 'MIMAT0026481')
('hsa-miR-1298-3p', 'MIMAT0026641')
('hsa-miR-3944-3p', 'MIMAT0018360')
('hsa-miR-942-5p', 'MIMAT0004985')
('hsa-miR-199a-5p', 'MIMAT0000231')
('hsa-miR-200a-5p', 'MIMAT0001620')
('hsa-miR-338-5p', 'MIMAT0004701')
('hsa-miR-30b-5p', 'MIMAT0000420')
('hsa-miR-320a', 'MIMAT0000510')
('hsa-miR-299-3p', 'MIMAT0000687')
('hsa-miR-93-3p', 'MIMAT0004509')
('hsa-miR-106a-5p', 'MIMAT0000103')
('hsa-miR-3065-3p', 'MIMAT0015378')
('hsa-miR-143-3p', 'MIMAT0000435')
('hsa-miR-939-5p', 'MIMAT0004982')
('hsa-miR-891a-5p', 'MIMAT0004902')
('hsa-miR-532-5p', 'MIMAT0002888')
('hsa-miR-512-3p', 'MIMAT0002823')
('hsa-miR-204-3p', 'MIMAT0022693')
('hsa-miR-197-3p', 'MIMAT0000227')
('hsa-miR-625-5p', 'MIMAT0003294')
('hsa-miR-301a-5p', 'MIMAT0022696')
('hsa-miR-449b-3p', 'MIMAT0009203')
('hsa-miR-3680-3p', 'MIMAT0018107')
('hsa-miR-190b', 'MIMAT0004929')
('hsa-miR-1228-5p', 'MIMAT0005582')
('hsa-miR-30a-5p', 'MIMAT0000087')
('hsa-miR-28-5p', 'MIMAT0000085')
('hsa-miR-500b-3p', 'MIMAT0027032')
('hsa-miR-24-3p', 'MIMAT0000080')
('hsa-miR-411-3p', 'MIMAT0004813')
('hsa-let-7b-5p', 'MIMAT0000063')
('hsa-miR-1296-5p', 'MIMAT0005794')
('hsa-miR-3130-3p', 'MIMAT0014994')
('hsa-miR-141-5p', 'MIMAT0004598')
('hsa-miR-1260b', 'MIMAT0015041')
('hsa-miR-379-3p', 'MIMAT0004690')
('hsa-miR-92a-3p', 'MIMAT0000092')
('hsa-miR-3614-3p', 'MIMAT0017993')
('hsa-miR-92b-3p', 'MIMAT0003218')
('hsa-miR-210-3p', 'MIMAT0000267')
('hsa-miR-211-5p', 'MIMAT0000268')
('hsa-miR-30c-1-3p', 'MIMAT0004674')
('hsa-miR-320b', 'MIMAT0005792')
('hsa-miR-1243', 'MIMAT0005894')
('hsa-miR-23c', 'MIMAT0018000')
('hsa-miR-410-3p', 'MIMAT0002171')
('hsa-miR-361-3p', 'MIMAT0004682')
('hsa-miR-34a-5p', 'MIMAT0000255')
('hsa-miR-216a-3p', 'MIMAT0022844')
('hsa-miR-376c-5p', 'MIMAT0022861')
('hsa-miR-548b-3p', 'MIMAT0003254')
('hsa-miR-676-5p', 'MIMAT0018203')
('hsa-miR-501-3p', 'MIMAT0004774')
('hsa-miR-589-3p', 'MIMAT0003256')
('hsa-miR-141-3p', 'MIMAT0000432')
('hsa-miR-654-5p', 'MIMAT0003330')
('hsa-miR-652-3p', 'MIMAT0003322')
('hsa-miR-885-3p', 'MIMAT0004948')
('hsa-miR-642a-5p', 'MIMAT0003312')
('hsa-miR-744-5p', 'MIMAT0004945')
('hsa-miR-335-3p', 'MIMAT0004703')
('hsa-miR-744-3p', 'MIMAT0004946')
('hsa-miR-3652', 'MIMAT0018072')
('hsa-miR-3136-5p', 'MIMAT0015003')
('hsa-miR-491-5p', 'MIMAT0002807')
('hsa-miR-3191-3p', 'MIMAT0015075')
('hsa-miR-1295a', 'MIMAT0005885')
('hsa-miR-431-5p', 'MIMAT0001625')
('hsa-miR-653-3p', 'MIMAT0026625')
('hsa-miR-548o-3p', 'MIMAT0005919')
('hsa-miR-3691-5p', 'MIMAT0018120')
('hsa-miR-10a-3p', 'MIMAT0004555')
('hsa-miR-1249-3p', 'MIMAT0005901')
('hsa-miR-130b-5p', 'MIMAT0004680')
('hsa-miR-1277-3p', 'MIMAT0005933')
('hsa-miR-29b-1-5p', 'MIMAT0004514')
('hsa-miR-766-3p', 'MIMAT0003888')
('hsa-miR-3613-3p', 'MIMAT0017991')
('hsa-miR-409-3p', 'MIMAT0001639')
('hsa-miR-139-5p', 'MIMAT0000250')
('hsa-miR-663a', 'MIMAT0003326')
('hsa-miR-135a-5p', 'MIMAT0000428')
('hsa-miR-639', 'MIMAT0003309')
('hsa-miR-543', 'MIMAT0004954')
('hsa-miR-361-5p', 'MIMAT0000703')
('hsa-miR-539-3p', 'MIMAT0022705')
('hsa-miR-342-5p', 'MIMAT0004694')
('hsa-miR-377-5p', 'MIMAT0004689')
('hsa-miR-23b-5p', 'MIMAT0004587')
('hsa-let-7e-5p', 'MIMAT0000066')
('hsa-miR-508-3p', 'MIMAT0002880')
('hsa-miR-95-3p', 'MIMAT0000094')
('hsa-miR-205-3p', 'MIMAT0009197')
('hsa-miR-18b-3p', 'MIMAT0004751')
('hsa-miR-488-5p', 'MIMAT0002804')
('hsa-miR-556-5p', 'MIMAT0003220')
('hsa-miR-125b-5p', 'MIMAT0000423')
('hsa-miR-509-5p', 'MIMAT0004779')
('hsa-miR-3616-3p', 'MIMAT0017996')
('hsa-miR-3157-3p', 'MIMAT0019210')
('hsa-miR-219a-2-3p', 'MIMAT0004675')
('hsa-let-7d-5p', 'MIMAT0000065')
('hsa-miR-32-3p', 'MIMAT0004505')
('hsa-let-7i-3p', 'MIMAT0004585')
('hsa-miR-615-3p', 'MIMAT0003283')
('hsa-miR-758-5p', 'MIMAT0022929')
('hsa-miR-532-3p', 'MIMAT0004780')
('hsa-miR-3150b-3p', 'MIMAT0018194')
('hsa-miR-202-5p', 'MIMAT0002810')
('hsa-miR-369-5p', 'MIMAT0001621')
('hsa-miR-129-1-3p', 'MIMAT0004548')
('hsa-miR-182-5p', 'MIMAT0000259')
('hsa-miR-31-3p', 'MIMAT0004504')
('hsa-miR-146b-5p', 'MIMAT0002809')
('hsa-miR-2277-5p', 'MIMAT0017352')
('hsa-miR-212-5p', 'MIMAT0022695')
('hsa-miR-362-5p', 'MIMAT0000705')
('hsa-miR-15a-5p', 'MIMAT0000068')
('hsa-miR-887-3p', 'MIMAT0004951')
('hsa-miR-576-5p', 'MIMAT0003241')
('hsa-miR-548v', 'MIMAT0015020')
('hsa-miR-3682-3p', 'MIMAT0018110')
('hsa-miR-30a-3p', 'MIMAT0000088')
('hsa-miR-423-5p', 'MIMAT0004748')
('hsa-miR-26a-5p', 'MIMAT0000082')
('hsa-miR-345-3p', 'MIMAT0022698')
('hsa-miR-26a-2-3p', 'MIMAT0004681')
('hsa-miR-539-5p', 'MIMAT0003163')
('hsa-miR-103a-3p', 'MIMAT0000101')
('hsa-miR-381-3p', 'MIMAT0000736')
('hsa-miR-30c-5p', 'MIMAT0000244')
('hsa-miR-3934-5p', 'MIMAT0018349')
('hsa-miR-3130-5p', 'MIMAT0014995')
('hsa-miR-584-5p', 'MIMAT0003249')
('hsa-miR-153-3p', 'MIMAT0000439')
('hsa-miR-2355-3p', 'MIMAT0017950')
('hsa-miR-1914-5p', 'MIMAT0007889')
('hsa-miR-660-3p', 'MIMAT0022711')
('hsa-miR-489-3p', 'MIMAT0002805')
('hsa-miR-9-5p', 'MIMAT0000441')
('hsa-miR-144-3p', 'MIMAT0000436')
('hsa-miR-181b-5p', 'MIMAT0000257')
('hsa-miR-199b-3p', 'MIMAT0004563')
('hsa-miR-145-3p', 'MIMAT0004601')
('hsa-miR-3173-5p', 'MIMAT0019214')
('hsa-miR-16-1-3p', 'MIMAT0004489')
('hsa-miR-374b-5p', 'MIMAT0004955')
('hsa-miR-548j-5p', 'MIMAT0005875')
('hsa-miR-542-3p', 'MIMAT0003389')
('hsa-miR-320c', 'MIMAT0005793')
('hsa-miR-331-5p', 'MIMAT0004700')
('hsa-miR-214-3p', 'MIMAT0000271')
('hsa-miR-24-1-5p', 'MIMAT0000079')
('hsa-miR-29b-3p', 'MIMAT0000100')
('hsa-miR-450b-5p', 'MIMAT0004909')
('hsa-miR-135b-3p', 'MIMAT0004698')
('hsa-miR-652-5p', 'MIMAT0022709')
('hsa-miR-628-5p', 'MIMAT0004809')
('hsa-miR-1306-3p', 'MIMAT0005950')
('hsa-miR-21-3p', 'MIMAT0004494')
('hsa-miR-139-3p', 'MIMAT0004552')
('hsa-miR-135a-3p', 'MIMAT0004595')
('hsa-miR-2116-3p', 'MIMAT0011161')
('hsa-miR-194-3p', 'MIMAT0004671')
('hsa-miR-140-5p', 'MIMAT0000431')
('hsa-miR-3189-3p', 'MIMAT0015071')
('hsa-miR-425-5p', 'MIMAT0003393')
('hsa-miR-3912-3p', 'MIMAT0018186')
('hsa-miR-636', 'MIMAT0003306')
('hsa-miR-203a-3p', 'MIMAT0000264')
('hsa-miR-103a-2-5p', 'MIMAT0009196')
('hsa-miR-125a-3p', 'MIMAT0004602')
('hsa-miR-152-5p', 'MIMAT0026479')
('hsa-miR-16-5p', 'MIMAT0000069')
('hsa-miR-152-3p', 'MIMAT0000438')
('hsa-miR-135b-5p', 'MIMAT0000758')
('hsa-let-7c-5p', 'MIMAT0000064')
('hsa-miR-511-5p', 'MIMAT0002808')
('hsa-miR-590-3p', 'MIMAT0004801')
('hsa-miR-301b-5p', 'MIMAT0032026')
('hsa-miR-486-3p', 'MIMAT0004762')
('hsa-miR-339-3p', 'MIMAT0004702')
('hsa-miR-424-5p', 'MIMAT0001341')
('hsa-miR-1247-5p', 'MIMAT0005899')
('hsa-miR-376b-5p', 'MIMAT0022923')
('hsa-miR-146b-3p', 'MIMAT0004766')
('hsa-miR-378a-3p', 'MIMAT0000732')
('hsa-miR-3187-3p', 'MIMAT0015069')
('hsa-miR-150-3p', 'MIMAT0004610')
('hsa-miR-28-3p', 'MIMAT0004502')
('hsa-miR-30b-3p', 'MIMAT0004589')
('hsa-miR-382-5p', 'MIMAT0000737')
('hsa-miR-185-3p', 'MIMAT0004611')
('hsa-miR-196a-5p', 'MIMAT0000226')
('hsa-miR-199a-3p', 'MIMAT0000232')
('hsa-miR-1258', 'MIMAT0005909')
('hsa-miR-99b-5p', 'MIMAT0000689')
('hsa-miR-210-5p', 'MIMAT0026475')
('hsa-miR-222-3p', 'MIMAT0000279')
('hsa-miR-224-5p', 'MIMAT0000281')
('hsa-miR-3170', 'MIMAT0015045')
('hsa-miR-1306-5p', 'MIMAT0022726')
('hsa-miR-508-5p', 'MIMAT0004778')
('hsa-miR-376a-3p', 'MIMAT0000729')
('hsa-let-7g-3p', 'MIMAT0004584')
('hsa-miR-125b-2-3p', 'MIMAT0004603')
('hsa-miR-192-5p', 'MIMAT0000222')
('hsa-miR-383-5p', 'MIMAT0000738')
('hsa-miR-526b-5p', 'MIMAT0002835')
('hsa-miR-1266-5p', 'MIMAT0005920')
('hsa-miR-148b-3p', 'MIMAT0000759')
('hsa-miR-196b-3p', 'MIMAT0009201')
('hsa-miR-26a-1-3p', 'MIMAT0004499')
('hsa-miR-758-3p', 'MIMAT0003879')
('hsa-miR-185-5p', 'MIMAT0000455')
('hsa-miR-149-5p', 'MIMAT0000450')
('hsa-miR-3607-3p', 'MIMAT0017985')
('hsa-miR-151a-3p', 'MIMAT0000757')
('hsa-miR-17-3p', 'MIMAT0000071')
('hsa-miR-181a-3p', 'MIMAT0000270')
('hsa-miR-3667-5p', 'MIMAT0018089')
('hsa-miR-425-3p', 'MIMAT0001343')
('hsa-miR-370-3p', 'MIMAT0000722')
('hsa-miR-150-5p', 'MIMAT0000451')
('hsa-miR-19a-3p', 'MIMAT0000073')
('hsa-miR-551a', 'MIMAT0003214')
('hsa-miR-34b-3p', 'MIMAT0004676')
('hsa-miR-1293', 'MIMAT0005883')
('hsa-miR-181a-5p', 'MIMAT0000256')
('hsa-miR-296-3p', 'MIMAT0004679')
