('641522', 'ARL17B', '100506084', 'ARL17B')
('118426', 'LOH12CR1', '118426', 'BORCS5')
('4345', 'CD200', '4345', 'CD200')
('11142', 'PKIG', '11142', 'PKIG')
('8360', 'HIST1H4D', '8360', 'HIST1H4D')
('79763', 'ISOC2', '79763', 'ISOC2')
('6711', 'SPTBN1', '6711', 'SPTBN1')
('390595', 'LOC390595', '390595', 'UBAP1L')
('55728', 'N4BP2', '55728', 'N4BP2')
('25841', 'ABTB2', '25841', 'ABTB2')
('57484', 'RNF150', '57484', 'RNF150')
('64081', 'PBLD', '64081', 'PBLD')
('441666', 'LOC441666', '441666', 'LOC441666')
('144195', 'SLC2A14', '144195', 'SLC2A14')
('5437', 'POLR2H', '5437', 'POLR2H')
('11067', 'C10orf10', '11067', 'C10orf10')
('8481', 'OFD1', '8481', 'OFD1')
('7274', 'TTPA', '7274', 'TTPA')
('387680', 'FAM21A', '387680', 'FAM21A')
('9817', 'KEAP1', '9817', 'KEAP1')
('79629', 'OCEL1', '79629', 'OCEL1')
('85319', 'BAGE2', '85319', 'BAGE2')
('3142', 'HLX', '3142', 'HLX')
('10209', 'EIF1', '10209', 'EIF1')
('56158', 'TEX12', '56158', 'TEX12')
('79634', 'SCRN3', '79634', 'SCRN3')
('79073', 'TMEM109', '79073', 'TMEM109')
('222234', 'FAM185A', '222234', 'FAM185A')
('8225', '?', '8225', 'GTPBP6')
('670', 'BPHL', '670', 'BPHL')
('8945', 'BTRC', '8945', 'BTRC')
('4678', 'NASP', '4678', 'NASP')
('56983', 'KTELC1', '56983', 'POGLUT1')
('90480', 'GADD45GIP1', '90480', 'GADD45GIP1')
('1949', 'EFNB3', '1949', 'EFNB3')
('79039', 'DDX54', '79039', 'DDX54')
('414777', 'HCG18', '414777', 'HCG18')
('30835', 'CD209', '30835', 'CD209')
('728855', 'LOC728855', '728855', 'LINC00623')
('221458', 'KIF6', '221458', 'KIF6')
('8729', 'GBF1', '8729', 'GBF1')
('100133234', 'SBF1P1', '100133234', 'SBF1P1')
('2847', 'MCHR1', '2847', 'MCHR1')
('7266', 'DNAJC7', '7266', 'DNAJC7')
('5865', 'RAB3B', '5865', 'RAB3B')
('9743', 'ARHGAP32', '9743', 'ARHGAP32')
('55848', 'C9orf46', '55848', 'PLGRKT')
('23522', 'MYST4', '23522', 'KAT6B')
('23224', 'SYNE2', '23224', 'SYNE2')
('8338', 'HIST2H2AC', '8338', 'HIST2H2AC')
('11164', 'NUDT5', '11164', 'NUDT5')
('201266', 'SLC39A11', '201266', 'SLC39A11')
('91894', 'C11orf52', '91894', 'C11orf52')
('6275', 'S100A4', '6275', 'S100A4')
('140739', 'UBE2F', '140739', 'UBE2F')
('83857', 'TMTC1', '83857', 'TMTC1')
('653645', 'DHX40P1', '653645', 'TBC1D3P1-DHX40P1')
('29760', 'BLNK', '29760', 'BLNK')
('26121', 'PRPF31', '26121', 'PRPF31')
('1187', 'CLCNKA', '1187', 'CLCNKA')
('84808', 'C1orf170', '84808', 'PERM1')
('64755', 'C16orf58', '64755', 'C16orf58')
('2745', 'GLRX', '2745', 'GLRX')
('3308', 'HSPA4', '3308', 'HSPA4')
('127003', 'C1orf194', '127003', 'C1orf194')
('55924', 'C1orf183', '55924', 'FAM212B')
('2207', 'FCER1G', '2207', 'FCER1G')
('26128', 'KIAA1279', '26128', 'KIF1BP')
('1284', 'COL4A2', '1284', 'COL4A2')
('166614', 'DCLK2', '166614', 'DCLK2')
('122402', 'TDRD9', '122402', 'TDRD9')
('6039', 'RNASE6', '6039', 'RNASE6')
('9410', 'SNRNP40', '9410', 'SNRNP40')
('283404', 'LOC283404', '283404', 'LINC00592')
('5091', 'PC', '5091', 'PC')
('23080', 'AVL9', '23080', 'AVL9')
('55170', 'PRMT6', '55170', 'PRMT6')
('192286', 'HIGD2A', '192286', 'HIGD2A')
('8452', 'CUL3', '8452', 'CUL3')
('8200', 'GDF5', '8200', 'GDF5')
('222643', 'UNC5CL', '222643', 'UNC5CL')
('285180', 'RUFY4', '285180', 'RUFY4')
('285237', 'C3orf38', '285237', 'C3orf38')
('25974', 'MMACHC', '25974', 'MMACHC')
('387882', 'C12orf75', '387882', 'C12orf75')
('788', 'SLC25A20', '788', 'SLC25A20')
('7122', 'CLDN5', '7122', 'CLDN5')
('55093', 'WDYHV1', '55093', 'WDYHV1')
('65266', 'WNK4', '65266', 'WNK4')
('375033', 'PEAR1', '375033', 'PEAR1')
('221150', 'SKA3', '221150', 'SKA3')
('2819', 'GPD1', '2819', 'GPD1')
('57153', 'SLC44A2', '57153', 'SLC44A2')
('4926', 'NUMA1', '4926', 'NUMA1')
('6124', 'RPL4', '6124', 'RPL4')
('149428', 'BNIPL', '149428', 'BNIPL')
('56063', 'C1orf91', '56063', 'TMEM234')
('200132', 'TCTEX1D1', '200132', 'TCTEX1D1')
('7809', 'BSND', '7809', 'BSND')
('140685', 'ZBTB46', '140685', 'ZBTB46')
('64150', 'DIO3OS', '64150', 'DIO3OS')
('3419', 'IDH3A', '3419', 'IDH3A')
('10347', 'ABCA7', '10347', 'ABCA7')
('55089', 'SLC38A4', '55089', 'SLC38A4')
('122664', 'TPPP2', '122664', 'TPPP2')
('2873', 'GPS1', '2873', 'GPS1')
('730130', 'TMEM229A', '730130', 'TMEM229A')
('29777', 'ABT1', '29777', 'ABT1')
('9883', 'POM121', '9883', 'POM121')
('64410', 'KLHL25', '64410', 'KLHL25')
('23469', 'PHF3', '23469', 'PHF3')
('89894', 'TMEM116', '89894', 'TMEM116')
('401588', 'LOC401588', '401588', 'ZNF674-AS1')
('84897', 'TBRG1', '84897', 'TBRG1')
('664701', 'ZNF826', '664701', 'ZNF826P')
('349075', 'ZNF713', '349075', 'ZNF713')
('57703', 'CWC22', '57703', 'CWC22')
('50862', 'RNF141', '50862', 'RNF141')
('2049', 'EPHB3', '2049', 'EPHB3')
('3068', 'HDGF', '3068', 'HDGF')
('8125', 'ANP32A', '8125', 'ANP32A')
('729230', 'CCR2', '729230', 'CCR2')
('56130', 'PCDHB6', '56130', 'PCDHB6')
('196513', 'DCP1B', '196513', 'DCP1B')
('121793', 'C13orf16', '121793', 'TEX29')
('23423', 'TMED3', '23423', 'TMED3')
('3516', 'RBPJ', '3516', 'RBPJ')
('64328', 'XPO4', '64328', 'XPO4')
('57562', 'KIAA1377', '57562', 'CEP126')
('115509', 'ZNF689', '115509', 'ZNF689')
('7694', 'ZNF135', '7694', 'ZNF135')
('81624', 'DIAPH3', '81624', 'DIAPH3')
('389493', 'LOC389493', '389493', 'NUPR2')
('988', 'CDC5L', '988', 'CDC5L')
('653316', 'FAM153C', '653316', 'FAM153C')
('1308', 'COL17A1', '1308', 'COL17A1')
('93129', 'ORAI3', '93129', 'ORAI3')
('84271', 'POLDIP3', '84271', 'POLDIP3')
('2800', 'GOLGA1', '2800', 'GOLGA1')
('732', 'C8B', '732', 'C8B')
('7494', 'XBP1', '7494', 'XBP1')
('24139', 'EML2', '24139', 'EML2')
('349667', 'RTN4RL2', '349667', 'RTN4RL2')
('5571', 'PRKAG1', '5571', 'PRKAG1')
('51719', 'CAB39', '51719', 'CAB39')
('391322', 'LOC391322', '391322', 'LOC391322')
('25906', 'C11orf51', '25906', 'ANAPC15')
('348094', 'ANKDD1A', '348094', 'ANKDD1A')
('4705', 'NDUFA10', '4705', 'NDUFA10')
('11200', 'CHEK2', '11200', 'CHEK2')
('348938', 'NIPAL4', '348938', 'NIPAL4')
('796', 'CALCA', '796', 'CALCA')
('79098', 'C1orf116', '79098', 'C1orf116')
('10802', 'SEC24A', '10802', 'SEC24A')
('28986', 'MAGEH1', '28986', 'MAGEH1')
('11146', 'GLMN', '11146', 'GLMN')
('4796', 'NFKBIL2', '4796', 'TONSL')
('89849', 'ATG16L2', '89849', 'ATG16L2')
('153769', 'SH3RF2', '153769', 'SH3RF2')
('53917', 'RAB24', '53917', 'RAB24')
('4477', 'MSMB', '4477', 'MSMB')
('80198', 'MUS81', '80198', 'MUS81')
('54149', 'C21orf91', '54149', 'C21orf91')
('9829', 'DNAJC6', '9829', 'DNAJC6')
('8331', 'HIST1H2AJ', '8331', 'HIST1H2AJ')
('56110', 'PCDHGA5', '56110', 'PCDHGA5')
('139411', 'PTCHD1', '139411', 'PTCHD1')
('255394', 'TCP11L2', '255394', 'TCP11L2')
('402569', 'KPNA7', '402569', 'KPNA7')
('164284', 'APCDD1L', '164284', 'APCDD1L')
('50808', 'AK3', '50808', 'AK3')
('4598', 'MVK', '4598', 'MVK')
('60680', 'CELF5', '60680', 'CELF5')
('55540', 'IL17RB', '55540', 'IL17RB')
('81031', 'SLC2A10', '81031', 'SLC2A10')
('54676', 'GTPBP2', '54676', 'GTPBP2')
('9792', 'SERTAD2', '9792', 'SERTAD2')
('5158', 'PDE6B', '5158', 'PDE6B')
('338707', 'B4GALNT4', '338707', 'B4GALNT4')
('100289635', 'ZNF605', '100289635', 'ZNF605')
('196463', 'PLBD2', '196463', 'PLBD2')
('79075', 'DSCC1', '79075', 'DSCC1')
('9530', 'BAG4', '9530', 'BAG4')
('4817', 'NIT1', '4817', 'NIT1')
('137964', 'AGPAT6', '137964', 'GPAT4')
('409', 'ARRB2', '409', 'ARRB2')
('6945', 'MLX', '6945', 'MLX')
('6097', 'RORC', '6097', 'RORC')
('90853', 'SPOCD1', '90853', 'SPOCD1')
('79168', 'LILRA6', '79168', 'LILRA6')
('112616', 'CMTM7', '112616', 'CMTM7')
('23326', 'USP22', '23326', 'USP22')
('1182', 'CLCN3', '1182', 'CLCN3')
('81786', 'TRIM7', '81786', 'TRIM7')
('55472', 'C8orf39', '55472', 'RBM12B-AS1')
('653121', 'ZBTB8A', '653121', 'ZBTB8A')
('56124', 'PCDHB12', '56124', 'PCDHB12')
('79091', 'C16orf68', '79091', 'METTL22')
('79081', 'C11orf48', '79081', 'LBHD1')
('8484', 'GALR3', '8484', 'GALR3')
('23272', 'C3orf63', '23272', 'FAM208A')
('93953', 'ACRC', '93953', 'ACRC')
('100131691', 'LOC100131691', '100131691', 'MZF1-AS1')
('1311', 'COMP', '1311', 'COMP')
('84705', 'GTPBP3', '84705', 'GTPBP3')
('26034', 'IPCEF1', '26034', 'IPCEF1')
('9986', 'RCE1', '9986', 'RCE1')
('3206', 'HOXA10', '3206', 'HOXA10')
('121274', 'ZNF641', '121274', 'ZNF641')
('550643', 'LOC550643', '550643', 'LINC01420')
('5147', 'PDE6D', '5147', 'PDE6D')
('10141', 'C4orf6', '10141', 'LINC01587')
('5055', 'SERPINB2', '5055', 'SERPINB2')
('9984', 'THOC1', '9984', 'THOC1')
('6300', 'MAPK12', '6300', 'MAPK12')
('23516', 'SLC39A14', '23516', 'SLC39A14')
('7849', 'PAX8', '7849', 'PAX8')
('139760', 'GPR119', '139760', 'GPR119')
('148423', 'C1orf52', '148423', 'C1orf52')
('60491', 'NIF3L1', '60491', 'NIF3L1')
('375775', 'PNPLA7', '375775', 'PNPLA7')
('10859', 'LILRB1', '10859', 'LILRB1')
('10595', 'ERN2', '10595', 'ERN2')
('989', 'SEPT7', '989', 'SEPT7')
('5304', 'PIP', '5304', 'PIP')
('3082', 'HGF', '3082', 'HGF')
('23314', 'SATB2', '23314', 'SATB2')
('4886', 'NPY1R', '4886', 'NPY1R')
('10397', 'NDRG1', '10397', 'NDRG1')
('6764', 'ST5', '6764', 'ST5')
('51176', 'LEF1', '51176', 'LEF1')
('4939', 'OAS2', '4939', 'OAS2')
('54470', 'ARMCX6', '54470', 'ARMCX6')
('23619', 'ZIM2', '23619', 'ZIM2')
('4322', 'MMP13', '4322', 'MMP13')
('221823', 'PRPS1L1', '221823', 'PRPS1L1')
('221491', 'C6orf1', '221491', 'C6orf1')
('283742', 'FAM98B', '283742', 'FAM98B')
('220594', 'LOC220594', '220594', 'USP32P2')
('11248', 'NXPH3', '11248', 'NXPH3')
('57119', 'SPINLW1', '57119', 'EPPIN')
('9638', 'FEZ1', '9638', 'FEZ1')
('79585', 'CORO7', '79585', 'CORO7')
('80012', 'PHC3', '80012', 'PHC3')
('1036', 'CDO1', '1036', 'CDO1')
('26287', 'ANKRD2', '26287', 'ANKRD2')
('3430', 'IFI35', '3430', 'IFI35')
('54532', 'USP53', '54532', 'USP53')
('3569', 'IL6', '3569', 'IL6')
('653145', 'ANXA8', '653145', 'ANXA8')
('8460', 'TPST1', '8460', 'TPST1')
('83903', 'GSG2', '83903', 'GSG2')
('10632', 'ATP5L', '10632', 'ATP5L')
('84461', 'NEURL4', '84461', 'NEURL4')
('11005', 'SPINK5', '11005', 'SPINK5')
('91947', 'ARRDC4', '91947', 'ARRDC4')
('11191', 'PTENP1', '11191', 'PTENP1')
('4040', 'LRP6', '4040', 'LRP6')
('6569', 'SLC34A1', '6569', 'SLC34A1')
('677769', 'SCARNA17', '677769', 'SCARNA17')
('51588', 'PIAS4', '51588', 'PIAS4')
('8932', 'MBD2', '8932', 'MBD2')
('145447', 'ABHD12B', '145447', 'ABHD12B')
('108', 'ADCY2', '108', 'ADCY2')
('6804', 'STX1A', '6804', 'STX1A')
('219968', 'OR5B21', '219968', 'OR5B21')
('286140', 'RNF5P1', '286140', 'RNF5P1')
('3636', 'INPPL1', '3636', 'INPPL1')
('163126', 'EID2', '163126', 'EID2')
('90525', 'SHF', '90525', 'SHF')
('11148', 'HHLA2', '11148', 'HHLA2')
('5337', 'PLD1', '5337', 'PLD1')
('91181', 'NUP210L', '91181', 'NUP210L')
('56127', 'PCDHB9', '56127', 'PCDHB9')
('25961', 'NUDT13', '25961', 'NUDT13')
('9373', 'PLAA', '9373', 'PLAA')
('728118', 'FAM22A', '728118', 'NUTM2A')
('202500', 'TCTE1', '202500', 'TCTE1')
('5387', 'PMS2L3', '5387', 'PMS2P3')
('4752', 'NEK3', '4752', 'NEK3')
('125206', 'SLC5A10', '125206', 'SLC5A10')
('92675', 'DTD1', '92675', 'DTD1')
('134526', 'ACOT12', '134526', 'ACOT12')
('29095', 'ORMDL2', '29095', 'ORMDL2')
('57192', 'MCOLN1', '57192', 'MCOLN1')
('5836', 'PYGL', '5836', 'PYGL')
('10434', 'LYPLA1', '10434', 'LYPLA1')
('53354', 'PANK1', '53354', 'PANK1')
('2901', 'GRIK5', '2901', 'GRIK5')
('29920', 'PYCR2', '29920', 'PYCR2')
('130752', 'MDH1B', '130752', 'MDH1B')
('345930', 'ECT2L', '345930', 'ECT2L')
('85474', 'LBX2', '85474', 'LBX2')
('6161', 'RPL32', '6161', 'RPL32')
('2649', 'NR6A1', '2649', 'NR6A1')
('51668', 'HSPB11', '51668', 'HSPB11')
('9846', 'GAB2', '9846', 'GAB2')
('2119', 'ETV5', '2119', 'ETV5')
('100128285', 'DNM1P35', '100128285', 'DNM1P35')
('129080', 'EMID1', '129080', 'EMID1')
('5145', 'PDE6A', '5145', 'PDE6A')
('8464', 'SUPT3H', '8464', 'SUPT3H')
('4157', 'MC1R', '4157', 'MC1R')
('170960', 'ZNF721', '170960', 'ZNF721')
('112714', 'TUBA3E', '112714', 'TUBA3E')
('51098', 'IFT52', '51098', 'IFT52')
('116841', 'SNAP47', '116841', 'SNAP47')
('1019', 'CDK4', '1019', 'CDK4')
('11214', 'AKAP13', '11214', 'AKAP13')
('7374', 'UNG', '7374', 'UNG')
