('T102688', 'KCCAT191')
('T225508', 'LINC00160.2')
('T262081', 'OVAT37')
('T312539', 'CAT873.1')
('T110522', 'DIO3OS.1')
('T006967', 'HRAT2')
('T371478', 'KCCAT204')
('T283231', 'CAT666')
('T293037', 'PRCAT225')
('T095722', 'THCAT300')
('T163664', 'LACAT230')
('T056763', 'WT1-AS.2')
('T364547', 'KHCAT138.1')
('T180320', 'BRCAT152')
('T250431', 'TMCC1-AS1.2')
('T019483', 'KHCAT407')
('T022591', 'CAT122')
('T360020', 'CAT1151')
('T285566', 'LINC00461.2')
('T226787', 'BRCAT76')
('T348924', 'THCAT613')
('T340296', 'BRCAT340')
('T294071', 'HNCAT169')
('T331223', 'MBAT104')
('T244610', 'ADAMTS9-AS1.2')
('T211903', 'BRCAT33')
('T237230', 'LSCAT13.2')
('T344035', 'CAT1042.3')
('T009776', 'KCCAT40')
('T246706', 'LINC00973.2')
('T054677', 'SBF2-AS1.3')
('T149512', 'CAT1945')
('T308431', 'LGAT22.4')
('T378889', 'ALG13-AS1')
('T304783', 'CAT810.1')
('T144646', 'CVAT13')
('T127929', 'MEAT149')
('T334983', 'THCAT283.1')
('T001071', 'CAT6.1')
('T133334', 'KHCAT429')
('T328202', 'CAT953')
('T054676', 'SBF2-AS1.4')
('T059038', 'CAT1358.2')
('T135831', 'AMAT118.1')
('T123255', 'CAT1791.2')
('T258472', 'MFI2-AS1.3')
('T367520', 'CAT1205.2')
('T114897', 'KHCAT105')
('T083365', 'LSCAT143')
('T042665', 'CAT1265')
('T011928', 'CAT57.3')
('T231133', 'KCCAT319.2')
('T153359', 'BRCAT273')
('T115110', 'OVAT253')
('T072551', 'AMAT1')
('T174358', 'HNCAT2')
('T054686', 'SBF2-AS1.5')
('T039351', 'THCAT349')
('T101759', 'UTAT29')
('T189519', 'CAT240')
('T286297', 'BLCAT1')
('T114875', 'CAT1729.4')
('T370670', 'ARSD-AS1')
('T334109', 'CAT982.2')
('T274238', 'THCAT483')
('T118456', 'CAT1766.1')
('T291543', 'CAT733.1')
('T150923', 'CAT1954.1')
('T108119', 'THCAT350.2')
('T258237', 'KHCAT262')
('T000486', 'CAT2.1')
('T254341', 'OVAT194')
('T078076', 'CAT1508')
('T016619', 'LACAT187')
('T363739', 'THCAT324')
('T092453', 'TEX26-AS1.3')
('T107619', 'THCAT422.1')
('T252948', 'MME-AS1.2')
('T114827', 'THCAT386')
('T355241', 'THCAT290')
('T020637', 'BRCAT23')
('T041737', 'THCAT34')
('T002637', 'OVAT85')
('T294905', 'CAT753')
('T380188', 'HNCAT78')
('T177106', 'OVAT143')
('T376410', 'FTX')
('T320359', 'HRAT26')
('T232879', 'KCCAT594')
('T087962', 'KPCAT72')
('T139479', 'CAT1891.1')
('T181342', 'BRCAT133')
('T166629', 'KCCAT170')
('T055518', 'KHCAT290')
('T272709', 'THCAT291.1')
('T051463', 'THCAT211')
('T042474', 'LINC00844.1')
('T166766', 'TINCR.1')
('T191965', 'CAT264.1')
('T081453', 'CAT1540.1')
('T306833', 'CAT824.1')
('T033866', 'LGAT51')
('T071571', 'HRAT80')
('T059192', 'CAT1361.1')
('T261189', 'THCAT470')
('T070828', 'CAT1449.1')
('T096559', 'RNF219-AS1.4')
('T214850', 'THCAT604')
('T012421', 'CAT62.1')
('T003872', 'CAT22')
('T206257', 'CAT355.2')
('T078794', 'CAT1518')
('T164731', 'CAT2034.4')
('T262937', 'HICLINC98.1')
('T353050', 'CAT1113.1')
('T076230', 'LINC00941.3')
('T203578', 'CAT340.4')
('T153124', 'CAT1969.3')
('T329692', 'BRCAT284')
('T244991', 'MEAT32.1')
('T201910', 'HICLINC74.3')
('T287350', 'KHCAT329')
('T116881', 'HICLINC322.1')
('T238725', 'BRCAT386')
('T108435', 'LSCAT4.1')
('T077428', 'CAT1502.1')
('T144761', 'CAT1920.1')
('T245054', 'CAT422')
('T245286', 'LGAT31')
('T272256', 'KHCAT423')
('T227354', 'HNCAT29')
('T031712', 'UTAT53')
('T166965', 'BRCAT196.2')
('T192060', 'KHCAT386')
('T153651', 'LINC00511.4')
('T077368', 'CAT1501.1')
('T006508', 'CRAT14')
('T244793', 'CAT419')
('T321452', 'CAT921.1')
('T322481', 'THCAT154')
('T185751', 'KCCAT645')
('T137628', 'FENDRR.3')
('T285571', 'LINC00461.7')
('T033216', 'CAT188.1')
('T121983', 'MEAT119')
('T219714', 'CAT2180.4')
('T105124', 'MBAT8')
('T374409', 'KCCAT31')
('T193829', 'KCCAT347')
('T118151', 'LACAT184')
('T235526', 'CAT2259.1')
('T241245', 'KHCAT284')
('T109441', 'LVCAT75')
('T035789', 'KCCAT37')
('T032794', 'CAT186.2')
('T029134', 'PNAT103')
('T015937', 'KCCAT564')
('T182488', 'BRCAT97')
('T110055', 'KCCAT561')
('T081835', 'CAT1545')
('T235787', 'LGAT11.2')
('T355139', 'THCAT185')
('T027626', 'CAT147.2')
('T139948', 'KHCAT383')
('T077619', 'CAT1503.2')
('T332678', 'OVAT182.1')
('T258183', 'KCCAT630')
('T353383', 'CAT1115.2')
('T301570', 'PRCAT197')
('T033151', 'LSCAT159')
('T043199', 'CAT1269')
('T002331', 'THCAT594')
('T244614', 'ADAMTS9-AS1.3')
('T340864', 'KCCAT146')
('T295685', 'LACAT77')
('T172635', 'HICLINC365.3')
('T220169', 'HICLINC382.1')
('T116002', 'LACAT70')
('T278794', 'SNHG18.1')
('T055030', 'LINC00958.6')
('T281576', 'BRCAT312')
('T317393', 'PRCAT11.3')
('T203739', 'GBAT21')
('T213373', 'KCCAT17.2')
('T060994', 'OVAT176')
('T146350', 'CAT1927.1')
('T290285', 'PRCAT91')
('T261131', 'PRCAT286.1')
('T347826', 'LINC00535.1')
('T306194', 'LGAT92')
('T001568', 'CRAT32.1')
('T252422', 'THCAT508')
('T382975', 'CAT2271')
('T254678', 'CAT472.2')
('T228163', 'HNCAT87')
('T351275', 'LSCAT39')
('T245248', 'PRCAT243')
('T245219', 'CAT424.2')
('T036938', 'BRCAT1.6')
('T376030', 'CAT2288')
('T179786', 'KCCAT550')
('T012410', 'CAT62.5')
('T097231', 'THCAT293')
('T355921', 'PRCAT234')
('T271860', 'KCCAT595')
('T018355', 'CAT97.2')
('T030354', 'CAT164')
('T251008', 'CAT451')
('T038619', 'LINC00836.2')
('T003874', 'KHCAT108')
('T306350', 'LINC00472.2')
('T350817', 'KHCAT206')
('T119605', 'CAT1772')
('T247981', 'KCCAT337')
('T110424', 'CAT1703')
('T012894', 'GNG12-AS1.5')
('T275900', 'CAT625.1')
('T110089', 'CAT1701')
('T029621', 'MIR205HG.7')
('T037073', 'CAT1227.2')
('T190264', 'KCCAT636')
('T303447', 'CAT800.3')
('T036397', 'CAT1224.1')
('T156462', 'KCCAT214')
('T294072', 'HNCAT10')
('T194024', 'CAT272.3')
('T165602', 'CAT2043')
('T228577', 'KCCAT665.2')
('T239205', 'MBAT70')
('T185669', 'KHCAT169.1')
('T164725', 'CAT2034.1')
('T324416', 'EGFR-AS1.1')
('T295335', 'CAT757.1')
('T337241', 'CAT1000')
('T002558', 'CAT10')
